POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
581-14200,-,0,Grey,SS,N,N,SFMTA,ON,0,1420,NORIEGA ST,9655000,Area 3,,"(37.7542209000, -122.4791176019)"
614-13100,-,0,Grey,SS,N,N,SFMTA,ON,0,1310,POST ST,10642000,Area 3,,"(37.7864144993, -122.4236575996)"
591-25030,-,0,Grey,SS,N,N,SFMTA,ON,0,2503,OCEAN AVE,9847000,Area 3,,"(37.7312339999, -122.4724448973)"
571-08110,-,0,Grey,SS,N,N,SFMTA,ON,0,811,MONTGOMERY ST,9308000,Area 2,,"(37.7967494027, -122.4036214982)"
591-25500,-,0,Grey,SS,N,N,SFMTA,ON,0,2550,OCEAN AVE,9847000,Area 3,,"(37.7317113996, -122.4730816984)"
108-03310,-,0,Grey,SS,N,N,SFMTA,ON,0,331,08TH AVE,389000,Area 3,,"(37.7822177977, -122.4665907023)"
109-03340,-,0,Grey,SS,N,N,SFMTA,ON,0,334,09TH AVE,425000,Area 3,,"(37.7821774975, -122.4675146004)"
383-27980,-,0,Grey,SS,N,N,SFMTA,ON,0,2798,DIAMOND ST,4769000,Area 3,,"(37.7345853028, -122.4339052976)"
360-07080,-,0,Grey,SS,N,N,SFMTA,ON,0,708,CLEMENT ST,4157000,Area 3,,"(37.7829060973, -122.4669445024)"
360-08110,-,0,Grey,SS,N,N,SFMTA,ON,0,811,CLEMENT ST,4158000,Area 3,,"(37.7827093013, -122.4679970012)"
218-42150,-,0,Grey,SS,N,N,SFMTA,ON,0,4215,18TH ST,893000,Area 3,,"(37.7607325994, -122.4366874022)"
590-00270,-,0,Grey,SS,Y,N,SFMTA,ON,0,27,OAK ST,9750000,Area 5,Civic Center,"(37.7752458983, -122.4202948974)"
210-03510,-,0,Grey,SS,N,N,SFMTA,ON,0,351,10TH ST,489000,Area 3,,"(37.7719028992, -122.4115379990)"
415-31120,-,0,Grey,SS,N,N,SFMTA,ON,0,3112,FILLMORE ST,5563000,Area 5,Marina,"(37.7984337014, -122.4356936996)"
415-22280,-,0,Grey,SS,Y,N,SFMTA,ON,0,2228,FILLMORE ST,5554000,Area 5,Fillmore,"(37.7906083007, -122.4341144988)"
549-20270,-,0,Green,SS,Y,N,SFMTA,ON,0,2027,LOMBARD ST,8459101,Area 5,Marina,"(37.7998125021, -122.4354144984)"
226-34080,-,0,Grey,SS,N,N,SFMTA,ON,0,3408,26TH ST,1526000,Area 3,,"(37.7490603019, -122.4185936001)"
612-11260,-,0,Grey,SS,N,N,SFMTA,ON,0,1126,POLK ST,10564000,Area 3,,"(37.7875303988, -122.4199918022)"
367-00370,-,0,Grey,SS,N,N,SFMTA,ON,0,37,COLLINGWOOD ST,4269000,Area 3,,"(37.7610930995, -122.4360780993)"
327-08030,-,0,Grey,SS,N,N,SFMTA,ON,0,803,BROADWAY,3158000,Area 3,,"(37.7972297975, -122.4104478990)"
591-25440,-,0,Grey,SS,N,N,SFMTA,ON,0,2544,OCEAN AVE,9847000,Area 3,,"(37.7316611026, -122.4729743989)"
462-00070,-,0,Grey,SS,N,N,SFMTA,ON,0,7,HAIGHT ST,6603000,Area 3,,"(37.7730378982, -122.4226354991)"
440-08090,-,0,Yellow,SS,N,N,SFMTA,ON,0,809,GEARY ST,6116000,Area 3,,"(37.7861970001, -122.4168626980)"
596-00150,-,0,Grey,SS,N,N,SFMTA,ON,0,15,OTIS ST,10046000,Area 3,,"(37.7725116991, -122.4192556978)"
665-01240,-,0,Red,SS,Y,N,SFMTA,ON,0,124,STEUART ST,12159000,Area 5,Downtown,"(37.7927882996, -122.3927624018)"
204-03670,-,0,Grey,SS,N,N,SFMTA,ON,0,367,04TH ST,258000,Area 5,South Embarcadero,"(37.7810450018, -122.3997837991)"
331-05030,-,0,Grey,SS,Y,N,SFMTA,ON,0,503,BRYANT ST,3282000,Area 5,South Embarcadero,"(37.7811556988, -122.3958813024)"
568-26350,-,0,Red,SS,Y,N,SFMTA,ON,0,2635,MISSION ST,9124000,Area 5,Mission,"(37.7544131026, -122.4185576026)"
568-27360,-,0,Yellow,SS,N,N,SFMTA,ON,0,2736,MISSION ST,9125000,Area 5,Mission,"(37.7527401977, -122.4185778980)"
324-05040,-,0,Grey,SS,Y,N,SFMTA,ON,0,504,BATTERY ST,2760000,Area 5,Downtown,"(37.7960440990, -122.4004468021)"
324-05060,-,0,Grey,SS,Y,N,SFMTA,ON,0,506,BATTERY ST,2760000,Area 5,Downtown,"(37.7961099026, -122.4004602020)"
666-00350,-,0,Yellow,SS,N,N,SFMTA,ON,0,35,SUTTER ST,12316000,Area 5,Downtown,"(37.7900245012, -122.4018817001)"
350-01180,-,0,Red,SS,N,N,SFMTA,ON,0,118,CALIFORNIA ST,3525000,Area 5,Downtown,"(37.7934828018, -122.3984108993)"
328-02110,-,0,Grey,SS,N,N,SFMTA,ON,0,211,BEALE ST,2865000,Area 5,Downtown,"(37.7896587987, -122.3937899002)"
328-02170,-,0,Grey,SS,N,N,SFMTA,ON,0,217,BEALE ST,2865000,Area 5,Downtown,"(37.7895291028, -122.3936288000)"
328-02350,-,0,Grey,SS,N,N,SFMTA,ON,0,235,BEALE ST,2865000,Area 5,Downtown,"(37.7891593994, -122.3931650014)"
418-01240,-,0,Grey,SS,N,N,SFMTA,ON,0,124,FOLSOM ST,5651000,Area 5,South Embarcadero,"(37.7897377004, -122.3915442989)"
359-03020,-,0,Grey,SS,Y,N,SFMTA,ON,0,302,CLAY ST,4082000,Area 5,Downtown,"(37.7952354019, -122.3993262981)"
359-03040,-,0,Grey,SS,Y,N,SFMTA,ON,0,304,CLAY ST,4082000,Area 5,Downtown,"(37.7952259024, -122.3994005003)"
